,Democratic,Other,Population,Republican,White
1,248166,6060,683482,28250,111179
2,70238,11253,687970,247968,568211
3,111125,5572,695254,145651,377665
4,128440,9289,683161,165340,401517
5,217316,8911,685406,77937,217020
6,133658,15901,686137,185692,453741
7,129066,8361,685303,150526,404977
8,114116,6014,696952,153932,384410
9,169122,7479,699796,142537,333225
10,54658,7687,702762,195664,557147
11,177997,15563,692788,126810,410079
12,112040,10798,680864,159511,373802
13,97375,4339,704198,154362,392583
14,114348,8114,703580,155334,428364
