,Democratic,Other,Population,Republican,White
1,98161,4328,704912,152158,389288
2,126457,13452,683212,176002,407821
3,136298,8405,685370,154075,384449
4,152287,7314,694152,149365,377300
5,57700,8892,686460,229835,546524
6,259525,9741,691024,38525,200884
7,174859,7253,681890,127968,289985
8,141716,8626,689099,144050,372001
9,166995,13687,696530,107714,330405
10,186106,8915,689956,107048,264555
11,78426,5376,702119,163371,445318
12,131237,6159,692356,129050,342376
13,113309,15732,705374,220550,520452
14,54589,7461,685199,189803,542562
