,Democratic,Other,Population,Republican,White
1,212935,9493,698591,83266,241821
2,258633,9903,688801,37059,204241
3,155875,10366,697237,160101,364690
4,113713,8366,700295,178809,462987
5,97542,4190,685176,145266,370007
6,61004,10799,683097,243365,550646
7,72516,4646,680341,160092,432746
8,139722,7916,679491,131821,356234
9,59303,9190,703592,204044,560849
10,175835,6605,696634,118633,289193
11,127197,6471,696215,139117,361132
12,138110,11504,684804,118246,304720
13,112842,8953,688094,184939,448952
14,152438,16939,705285,184756,465702
