,Democratic,Other,Population,Republican,White
1,262618.0,7842.0,698159.0,58382.0,286656.0
2,100292.0,12608.0,707057.0,205155.0,649015.0
3,243877.0,10925.0,702986.0,115736.0,449472.0
4,292759.0,7293.0,694098.0,37069.0,231535.0
5,136996.0,14161.0,693627.0,184905.0,550657.0
6,194091.0,14943.0,717807.0,167432.0,586295.0
7,170146.0,15029.0,691860.0,171361.0,591205.0
8,137908.0,9968.0,698772.0,165635.0,600066.0
9,75362.0,10639.0,715377.0,212690.0,678691.0
10,116360.0,12902.0,707113.0,182484.0,645164.0
11,160811.0,14914.0,690897.0,198713.0,628005.0
12,92049.0,10505.0,709751.0,218617.0,671972.0
13,113614.0,11453.0,699982.0,173166.0,574502.0
14,115722.0,10264.0,715266.0,207861.0,658978.0
15,234767.0,13835.0,707716.0,124826.0,530124.0
16,154779.0,12603.0,711045.0,163245.0,550808.0
17,189629.0,12437.0,715419.0,170976.0,592496.0
18,122718.0,15762.0,707997.0,197245.0,602465.0
