,Democratic,Other,Population,Republican,White
1,90294.0,11918.0,704437.0,206804.0,654067.0
2,150032.0,14908.0,717724.0,176208.0,581971.0
3,132706.0,16315.0,705905.0,194667.0,591669.0
4,112848.0,13051.0,694156.0,180580.0,635851.0
5,280271.0,7392.0,702025.0,42465.0,257389.0
6,165989.0,12681.0,692114.0,156904.0,531205.0
7,93267.0,10468.0,692383.0,189673.0,640721.0
8,271794.0,10313.0,710604.0,87478.0,400738.0
9,90189.0,10883.0,715888.0,224593.0,684084.0
10,123120.0,10143.0,715552.0,201081.0,650437.0
11,122417.0,13026.0,693367.0,193934.0,582541.0
12,202835.0,14977.0,711964.0,163208.0,581456.0
13,273433.0,8983.0,718121.0,79704.0,329875.0
14,177260.0,11479.0,693484.0,160254.0,564843.0
15,138523.0,9589.0,700538.0,162838.0,594505.0
16,157634.0,14571.0,715553.0,211708.0,653010.0
17,233058.0,13834.0,695356.0,114713.0,522146.0
18,98828.0,13552.0,705758.0,208686.0,621598.0
