,Democratic,Other,Population,Republican,White
1,260142,6491,682224,20766,105458
2,186756,6851,692208,114421,275403
3,51907,7191,693087,193536,555028
4,113721,7273,694264,146229,400166
5,104066,4225,704149,142164,366344
6,127938,13989,683909,178991,422010
7,197575,15079,690192,104093,371898
8,61737,10689,705399,242693,568701
9,81537,5196,685359,175658,444619
10,154094,13509,684725,162443,398205
11,132475,8998,704476,156686,420399
12,148818,8630,700948,161173,382505
13,127098,6677,682580,141542,364051
14,129801,10543,684133,149119,339133
