,Democratic,Other,Population,Republican,White
1,153270,16700,696891,171485,444457
2,189348,8447,693878,76316,206096
3,109047,8606,685021,179579,445101
4,65769,10562,702382,238998,553649
5,118247,6616,698194,153556,386404
6,222803,5946,678392,54187,133646
7,77903,4748,704484,164980,443962
8,137779,8062,684224,133097,362793
9,107165,7522,681261,178315,433338
10,211844,14494,698896,101176,362660
11,96559,4172,678264,144146,366858
12,61968,9874,704686,207309,564293
13,126448,12283,684266,168065,420431
14,199515,7309,696814,118305,290232
