,Democratic,Other,Population,Republican,White
1,56752,8511,686801,192232,544665
2,121951,15616,698213,216245,493498
3,100335,4333,704013,149937,381242
4,251955,6237,702096,33474,118200
5,94516,9718,680279,207341,493331
6,124456,6130,688168,141262,370896
7,187692,6769,681344,112588,278550
8,133191,9150,703621,161471,419495
9,67305,9333,679585,219171,513656
10,88993,4692,696567,164503,419025
11,166894,13146,692761,99754,323876
12,156449,14190,686330,149984,379477
13,211032,9359,682417,90460,259225
14,116144,8157,705458,151092,418784
