,Democratic,Other,Population,Republican,White
1,245743,5635,680726,23914,99119
2,148408,15396,689958,161309,424591
3,116384,6039,695962,146199,380615
4,59733,8380,694612,207844,561422
5,133854,9101,702838,159694,416478
6,184585,6679,680466,117249,282450
7,101518,4994,703372,157322,404846
8,173274,16610,682689,151892,448614
9,204578,9199,705583,67260,201208
10,100143,4308,700581,149291,379174
11,126938,12075,678827,174830,395391
12,113733,9345,689964,184613,450773
13,54426,9466,678495,232763,540875
14,114348,8114,703580,155334,428364
