,Democratic,Other,Population,Republican,White
1,207474.0,5456.0,703063.0,66926.0,284703.0
2,259412.0,11389.0,696652.0,109292.0,456768.0
3,287427.0,8932.0,711152.0,59064.0,311159.0
4,157265.0,14829.0,701796.0,167776.0,579629.0
5,239305.0,12440.0,710912.0,138758.0,503722.0
6,158376.0,12666.0,715599.0,162080.0,552853.0
7,91693.0,11270.0,715334.0,219677.0,682801.0
8,192320.0,14985.0,691826.0,171074.0,582696.0
9,139701.0,14720.0,705913.0,184865.0,559965.0
10,138586.0,15837.0,716954.0,190151.0,595147.0
11,186282.0,14723.0,709024.0,176914.0,601491.0
12,78295.0,11296.0,702121.0,207854.0,665122.0
13,111201.0,10555.0,693438.0,203289.0,649477.0
14,134872.0,9700.0,695063.0,160896.0,591305.0
15,212829.0,13276.0,708729.0,146727.0,563872.0
16,115550.0,12784.0,703675.0,179003.0,640067.0
17,101143.0,11579.0,712647.0,216470.0,653024.0
18,102767.0,11646.0,691031.0,194682.0,604305.0
