,Democratic,Other,Population,Republican,White
1,244332,8234,703956,39411,164565
2,125703,11173,689935,164508,373590
3,138701,7933,678161,132299,358441
4,113299,8856,689303,178825,451719
5,128286,6573,691790,137571,359728
6,62063,10930,703707,250147,576594
7,134991,12741,692556,166301,414602
8,52820,7177,683946,187662,542143
9,76730,4701,697907,162475,437917
10,133709,14277,685321,164924,401473
11,97559,4142,680236,143977,366399
12,149278,8684,704664,162103,384245
13,210390,6827,704092,107903,255580
14,209804,13093,682079,91408,326924
