,Democratic,Other,Population,Republican,White
1,220828,10195,684607,69138,242188
2,127479,10984,679231,129253,313825
3,131654,8996,702247,158394,421758
4,171213,8572,683887,135926,315351
5,96921,4171,682063,144320,368370
6,59527,10430,686455,242529,555218
7,93144,5000,698834,164122,420721
8,110569,7613,686385,154317,419817
9,89679,9222,701097,214551,511653
10,58080,9020,700577,202123,558676
11,127053,6268,685032,130413,345513
12,204441,6196,687480,84240,204704
13,234639,11735,704473,75432,270424
14,152438,16939,705285,184756,465702
