,Democratic,Other,Population,Republican,White
1,47806,7818,680740,213329,566350
2,234391,10693,692717,61084,235577
3,150330,14019,691857,146027,391397
4,224890,7621,681456,36282,140379
5,83244,13161,693975,224301,537760
6,142009,13363,704304,178285,443115
7,124128,5989,693545,141103,365950
8,122781,11715,699965,170804,417273
9,88528,4737,682444,159734,414271
10,142170,8810,689286,163369,388673
11,182538,7215,694751,129815,305826
12,119181,7817,683425,165706,412844
13,98467,4276,696463,149238,379343
14,117202,8107,702725,150437,415162
