,Democratic,Other,Population,Republican,White
1,121075.0,11263.0,717726.0,170140.0,558815.0
2,91767.0,11038.0,693337.0,194910.0,645515.0
3,209994.0,6573.0,703980.0,82708.0,335341.0
4,187014.0,14084.0,691979.0,159172.0,584048.0
5,129080.0,16606.0,716230.0,201349.0,606885.0
6,129573.0,13960.0,711792.0,188140.0,595879.0
7,128676.0,10160.0,710421.0,180549.0,640729.0
8,179848.0,14537.0,696617.0,170183.0,597614.0
9,173933.0,15447.0,709778.0,174423.0,591710.0
10,92358.0,12394.0,694815.0,212704.0,618664.0
11,203472.0,12251.0,716952.0,155152.0,564741.0
12,156283.0,12606.0,707161.0,160904.0,548087.0
13,300858.0,8367.0,696913.0,43458.0,283884.0
14,116366.0,12774.0,703691.0,179392.0,641529.0
15,128579.0,11456.0,691467.0,194135.0,644938.0
16,89509.0,11228.0,715463.0,231177.0,682777.0
17,219221.0,13709.0,697404.0,159714.0,575663.0
18,256892.0,9630.0,709203.0,97288.0,361287.0
