,Democratic,Other,Population,Republican,White
1,97483,4205,686661,146167,372760
2,99307,9429,678575,193360,470351
3,234248,6960,699984,56478,148617
4,220900,13733,702279,79618,331011
5,54142,7598,704401,204338,569459
6,120822,5956,681197,135716,356034
7,76018,4937,700227,161274,442163
8,81050,13696,681389,241973,553081
9,178205,6750,690360,123033,293712
10,132002,7799,684506,151523,387876
11,156612,15583,693468,159502,421718
12,103628,11896,701328,198599,449267
13,196695,8139,684978,78029,195086
14,126553,8660,698300,159904,422785
