,Democratic,Other,Population,Republican,White
1,116484,8520,679770,176130,438806
2,61715,9235,705371,232779,559449
3,98116,4310,701964,151424,386893
4,124439,11595,686594,150270,343527
5,207216,7475,685163,81926,200114
6,158133,8641,678803,126663,341397
7,55986,8847,702126,203229,562474
8,114493,6026,685754,140647,368960
9,114710,6557,705551,154277,396223
10,154142,8222,702037,156830,363555
11,252652,7568,685815,37126,157404
12,109841,7532,695205,155030,422159
13,177767,16770,685343,148551,445538
14,131971,14043,688157,174632,427421
