,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,93442.0,77354.0,4678.0,10912.0,691261.0,167043.0,201942.0,651085.0
2,124016.0,108425.0,4343.0,11573.0,696643.0,151242.0,181270.0,586660.0
3,294189.0,301424.0,2845.0,7678.0,711180.0,34648.0,37867.0,243927.0
4,136388.0,137994.0,4699.0,14850.0,711703.0,179030.0,192755.0,583158.0
5,145379.0,123424.0,4850.0,13441.0,706101.0,161196.0,187376.0,642412.0
6,172992.0,185427.0,4379.0,15219.0,702382.0,171716.0,170382.0,583482.0
7,187603.0,195831.0,3985.0,13267.0,702437.0,164860.0,170653.0,589785.0
8,153556.0,149247.0,3902.0,11818.0,700842.0,131901.0,154473.0,537688.0
9,240362.0,252349.0,3307.0,11114.0,703790.0,116522.0,110179.0,455619.0
10,158504.0,169120.0,4066.0,14132.0,701023.0,169683.0,168121.0,577304.0
11,132359.0,132193.0,5770.0,15987.0,695810.0,176066.0,190586.0,571666.0
12,263059.0,254443.0,2099.0,6862.0,713452.0,57828.0,61251.0,288930.0
13,104817.0,97558.0,4910.0,12025.0,711492.0,185884.0,212817.0,652385.0
14,102060.0,81600.0,5084.0,10563.0,705035.0,185525.0,218128.0,675459.0
15,210811.0,224387.0,5292.0,15811.0,716914.0,155846.0,146906.0,586299.0
16,142717.0,131257.0,3968.0,11891.0,713285.0,177595.0,201930.0,656469.0
17,158938.0,136323.0,3917.0,10111.0,708316.0,129234.0,170762.0,612380.0
18,163237.0,156142.0,3853.0,10829.0,693263.0,161112.0,178100.0,583398.0
