,Democratic,Other,Population,Republican,White
1,116484,8520,679770,176130,438806
2,61715,9235,705371,232779,559449
3,129385,6117,693234,130582,344625
4,208996,7548,683655,83585,205424
5,176493,15003,694508,120893,378627
6,255086,7985,685193,31261,153693
7,132472,14967,697778,182388,439585
8,112312,6453,699138,151943,392883
9,98264,4320,703609,151628,387739
10,141500,8225,699325,169025,390384
11,155699,8224,679425,132528,345108
12,109841,7532,695205,155030,422159
13,123933,13289,678937,176269,405128
14,55485,7923,692505,195473,550310
