,Democratic,Other,Population,Republican,White
1,172589.0,14346.0,712582.0,167002.0,568862.0
2,112078.0,10461.0,709700.0,186481.0,604482.0
3,191692.0,14558.0,691620.0,163488.0,588529.0
4,116180.0,13431.0,714301.0,191093.0,655089.0
5,266857.0,6563.0,707593.0,39209.0,227115.0
6,130985.0,14389.0,699551.0,184880.0,567069.0
7,233006.0,14192.0,705774.0,126012.0,535632.0
8,154150.0,13773.0,709519.0,163009.0,547951.0
9,101846.0,11176.0,714235.0,191138.0,658647.0
10,86049.0,10347.0,701045.0,213284.0,664430.0
11,131815.0,15329.0,694568.0,183325.0,564242.0
12,184657.0,11592.0,714899.0,161145.0,573150.0
13,289657.0,10390.0,710691.0,83671.0,373799.0
14,256302.0,9476.0,692509.0,87128.0,370580.0
15,116308.0,10569.0,690900.0,183245.0,641060.0
16,126286.0,10024.0,702557.0,191970.0,632210.0
17,156188.0,14528.0,713255.0,206956.0,653099.0
18,87853.0,12939.0,699630.0,232462.0,652160.0
