,Democratic,Other,Population,Republican,White
1,183025,7155,685443,131796,305600
2,180983,16203,704989,152492,445873
3,203738,8509,679585,54619,181101
4,224890,7621,681456,36282,140379
5,83244,13161,693975,224301,537760
6,142009,13363,704304,178285,443115
7,122169,8718,695582,169878,429096
8,48798,7731,687310,211286,562309
9,96512,5621,701629,160690,418423
10,126037,6106,696654,137810,360640
11,141897,8561,692420,162472,387859
12,116220,11095,683111,171078,411815
13,98925,4274,697655,149044,378940
14,109218,7223,683540,149481,411010
