,Democratic,Other,Population,Republican,White
1,249684,10828,679444,60263,252699
2,124651,8497,700294,163216,423951
3,49972,7246,683053,191826,547564
4,105974,12046,691284,194001,443194
5,147062,11317,686528,113082,299675
6,211418,7991,705581,73036,209404
7,74020,4839,681245,154897,427721
8,149810,15793,698376,170569,441587
9,135923,8976,701837,176733,422075
10,133722,7698,690510,146520,384297
11,201769,6493,696644,102205,245949
12,74798,13087,678517,248599,561418
13,97625,4226,693505,149325,379744
14,121237,6304,700835,145242,374642
