,Democratic,Other,Population,Republican,White
1,98161,4328,704912,152158,389288
2,113574,15741,705074,220472,520266
3,136298,8405,685370,154075,384449
4,253765,9866,696526,42575,194380
5,179816,8552,680900,110114,262231
6,178183,13658,703095,104040,337991
7,175285,7267,687635,128989,293488
8,143994,7645,681672,154841,387781
9,133902,6122,700244,129911,342465
10,62971,8783,685952,219398,537595
11,78426,5376,702119,163371,445318
12,142821,8741,692281,145525,373742
13,126192,13443,683512,176080,408007
14,54277,7414,678361,187965,536919
