,Democratic,Other,Population,Republican,White
1,116456.0,9474.0,698607.0,157040.0,557024.0
2,307718.0,8033.0,692676.0,38695.0,243514.0
3,131567.0,15241.0,704580.0,179037.0,574410.0
4,95448.0,13579.0,700448.0,223083.0,637919.0
5,128812.0,14157.0,718157.0,177709.0,592195.0
6,121607.0,13483.0,700547.0,192383.0,587327.0
7,113461.0,12996.0,694258.0,188885.0,636696.0
8,176261.0,10434.0,693898.0,143738.0,526690.0
9,88968.0,9979.0,715819.0,218772.0,675434.0
10,131707.0,10216.0,713696.0,192234.0,632946.0
11,172349.0,15103.0,706835.0,181761.0,598110.0
12,209695.0,14682.0,700055.0,152571.0,556425.0
13,262790.0,9515.0,718349.0,88418.0,367067.0
14,130369.0,10886.0,706451.0,180426.0,623050.0
15,98112.0,11336.0,700415.0,196147.0,652956.0
16,160289.0,14813.0,711443.0,207975.0,651395.0
17,221344.0,13894.0,698573.0,128042.0,543240.0
18,247545.0,10262.0,710122.0,108582.0,421708.0
