,Dem12,Democratic,Oth12,Other,Population,Rep12,Republican,White
1,257938.0,255202.0,2240.0,7150.0,696725.0,59833.0,60218.0,301364.0
2,186858.0,192287.0,3889.0,12549.0,696556.0,154781.0,162569.0,576533.0
3,177179.0,196631.0,4095.0,14946.0,692573.0,167893.0,161195.0,570043.0
4,287760.0,295671.0,2817.0,7573.0,696833.0,33601.0,36784.0,237978.0
5,103933.0,81891.0,5272.0,10942.0,712808.0,178941.0,213353.0,683560.0
6,240976.0,244919.0,3127.0,10638.0,709170.0,119589.0,117170.0,433558.0
7,162141.0,171070.0,4257.0,15110.0,717227.0,178831.0,177228.0,608548.0
8,135818.0,135618.0,4545.0,14388.0,708690.0,179155.0,195938.0,583114.0
9,155805.0,150999.0,4053.0,12251.0,718127.0,138410.0,163728.0,556617.0
10,126771.0,113372.0,4775.0,12867.0,705696.0,157999.0,182924.0,589027.0
11,130234.0,127121.0,5883.0,15734.0,710715.0,175474.0,193075.0,588239.0
12,218701.0,219264.0,4741.0,13132.0,712579.0,135170.0,138861.0,547945.0
13,90173.0,79153.0,4387.0,10614.0,690806.0,191028.0,221571.0,640954.0
14,174702.0,184704.0,4554.0,15144.0,702685.0,182205.0,180521.0,613178.0
15,124034.0,112011.0,3729.0,10599.0,712582.0,182746.0,212505.0,670615.0
16,145006.0,120200.0,4766.0,12956.0,690847.0,152998.0,178621.0,625580.0
17,160015.0,139173.0,3742.0,9572.0,712650.0,121942.0,163537.0,602484.0
18,106385.0,95212.0,5075.0,11918.0,697660.0,166335.0,195700.0,648769.0
