,Democratic,Other,Population,Republican,White
1,153270,16700,696891,171485,444457
2,223944,14705,700264,98781,366695
3,248371,6374,690084,52272,129719
4,120611,13048,705007,195745,449759
5,118247,6616,698194,153556,386404
6,109842,8240,691974,174662,441400
7,72516,4646,680341,160092,432746
8,137779,8062,684224,133097,362793
9,53011,7610,690811,200983,561905
10,183579,8518,702431,79245,206063
11,96559,4172,678264,144146,366858
12,172195,6476,680104,110002,272604
13,66138,12110,700019,245679,555062
14,121603,8064,689045,169769,437455
