,Democratic,Other,Population,Republican,White
1,244332,8234,703956,39411,164565
2,123455,10598,696989,157923,356665
3,113048,8872,684914,180673,453546
4,139532,7958,688156,131669,361407
5,127263,6539,681437,136679,354822
6,62063,10930,703707,250147,576594
7,133903,12618,690189,165309,411659
8,52820,7177,683946,187662,542143
9,74575,4954,687006,157295,433535
10,137045,14975,680634,172501,421341
11,100157,3882,695884,148831,370894
12,149278,8684,704664,162103,384245
13,210390,6827,704092,107903,255580
14,209804,13093,682079,91408,326924
