,Democratic,Other,Population,Republican,White
1,233998,8643,688757,45893,169548
2,124594,15639,679145,205681,492917
3,73015,10654,680419,222125,509425
4,95030,5177,698171,156680,411749
5,104066,4225,704149,142164,366344
6,234470,12162,698820,74830,289091
7,187295,6696,682820,110565,267368
8,50260,6986,685574,190600,551855
9,107740,7063,681276,152180,415438
10,125197,13147,698534,184420,447911
11,124963,9227,704652,169713,437997
12,150273,8669,696546,158693,374078
13,127652,6823,698925,148166,379521
14,139112,10230,689865,127804,300678
